ticker,max_profit,initial_price,final_price,buy_hold_profit,buy_hold_return_pct,optimal_profit,optimal_return_pct,profit_advantage,num_transactions,avg_profit_per_transaction,analysis_date
AAPL,364.119873046875,227.97898864746094,254.0399932861328,26.061004638671875,11.431318646198461,364.119873046875,159.71641737999713,338.0588684082031,59,6.1715232719809325,2025-10-10 13:46:51
MSFT,596.9973449707031,412.7413635253906,522.4000244140625,109.65866088867188,26.568372007116754,596.9973449707031,144.641995624453,487.33868408203125,69,8.652135434358016,2025-10-10 13:46:51
GOOGL,370.7645263671875,161.3683624267578,241.52999877929688,80.16163635253906,49.6761788661783,370.7645263671875,229.76283627806583,290.60289001464844,61,6.078106989626025,2025-10-10 13:46:51
AMZN,407.7100372314453,186.64999389648438,227.74000549316406,41.09001159667969,22.0144725102258,407.7100372314453,218.4356016949887,366.6200256347656,67,6.085224436290228,2025-10-10 13:46:51
TSLA,1383.7000579833984,238.77000427246094,435.5400085449219,196.77000427246094,82.40985079848066,1383.7000579833984,579.5116778590226,1186.9300537109375,59,23.45254335565082,2025-10-10 13:46:51
NVDA,392.32252502441406,134.7713623046875,192.57000732421875,57.79864501953125,42.88644414594668,392.32252502441406,291.1022922937157,334.5238800048828,68,5.7694488974178535,2025-10-10 13:46:51
META,1313.4668579101562,581.9999389648438,733.510009765625,151.51007080078125,26.032660943274315,1313.4668579101562,225.68161437375983,1161.956787109375,63,20.848680284288193,2025-10-10 13:46:51
NFLX,2110.3597412109375,730.2899780273438,1231.0699462890625,500.77996826171875,68.57275648426993,2110.3597412109375,288.97558568603563,1609.5797729492188,60,35.172662353515626,2025-10-10 13:46:51
JPM,390.0133972167969,208.4278106689453,305.5299987792969,97.10218811035156,46.58792307931645,390.0133972167969,187.12157267547738,292.9112091064453,61,6.393662249455686,2025-10-10 13:46:51
BAC,66.34383773803711,39.051002502441406,49.790000915527344,10.738998413085938,27.499930155223424,66.34383773803711,169.89022940932028,55.60483932495117,58,1.1438592713454674,2025-10-10 13:46:51
GS,1159.9469604492188,493.6473083496094,779.9600219726562,286.3127136230469,57.999447941945505,1159.9469604492188,234.97483746588662,873.6342468261719,66,17.574953946200285,2025-10-10 13:46:51
MS,234.06774139404297,104.9463882446289,156.27000427246094,51.32361602783203,48.9046044235436,234.06774139404297,223.0355377723277,182.74412536621094,68,3.4421726675594555,2025-10-10 13:46:51
C,147.1822738647461,61.5885124206543,95.91999816894531,34.331485748291016,55.743326797381165,147.1822738647461,238.97682876228572,112.85078811645508,61,2.412824161717149,2025-10-10 13:46:51
V,431.5824890136719,275.5350341796875,347.0400085449219,71.50497436523438,25.951318524018657,431.5824890136719,156.63434245251716,360.0775146484375,66,6.5391286214192705,2025-10-10 13:46:51
MA,674.102783203125,495.1749267578125,564.5499877929688,69.37506103515625,14.010212812953519,674.102783203125,136.13427230995993,604.7277221679688,67,10.061235570195896,2025-10-10 13:46:51
PYPL,146.7149772644043,78.9800033569336,75.75,-3.2300033569335938,-4.089647024116053,146.7149772644043,185.76218160102712,149.9449806213379,73,2.009794209101429,2025-10-10 13:46:51
JNJ,185.16395568847656,155.48385620117188,191.0800018310547,35.59614562988281,22.893788782693264,185.16395568847656,119.08886247901084,149.56781005859375,65,2.848676241361178,2025-10-10 13:46:51
PFE,36.04297065734863,27.416255950927734,25.239999771118164,-2.1762561798095703,-7.937831422732717,36.04297065734863,131.4656921859127,38.2192268371582,64,0.5631714165210724,2025-10-10 13:46:52
MRK,129.7938003540039,105.49293518066406,87.5,-17.992935180664062,-17.056057023960797,129.7938003540039,123.03553800235333,147.78673553466797,65,1.9968276977539063,2025-10-10 13:46:52
UNH,851.6262359619141,585.0126953125,367.69000244140625,-217.32269287109375,-37.14837209729357,851.6262359619141,145.57397519501615,1068.9489288330078,64,13.306659936904907,2025-10-10 13:46:52
ABBV,308.51808166503906,187.6393585205078,230.69000244140625,43.05064392089844,22.943290928056157,308.51808166503906,164.4207718986206,265.4674377441406,57,5.412597923948054,2025-10-10 13:46:52
WMT,132.9052505493164,78.84126281738281,101.7699966430664,22.928733825683594,29.0821493800684,132.9052505493164,168.57321382225962,109.97651672363281,57,2.331671062268709,2025-10-10 13:46:52
COST,1177.5684204101562,889.0674438476562,942.8900146484375,53.82257080078125,6.053823157425599,1177.5684204101562,132.4498415231517,1123.745849609375,59,19.95878678661282,2025-10-10 13:46:52
PG,165.66122436523438,164.78341674804688,150.5800018310547,-14.203414916992188,-8.61944435750422,165.66122436523438,100.53270385728781,179.86463928222656,64,2.588456630706787,2025-10-10 13:46:52
KO,67.93130493164062,67.22801208496094,66.37000274658203,-0.8580093383789062,-1.2762676029964672,67.93130493164062,101.04613066022372,68.78931427001953,64,1.0614266395568848,2025-10-10 13:46:52
PEP,172.37088012695312,166.55154418945312,144.7100067138672,-21.841537475585938,-13.113980769065156,172.37088012695312,103.49401500047367,194.21241760253906,74,2.329336217931799,2025-10-10 13:46:52
MCD,316.8867492675781,297.1056823730469,293.80999755859375,-3.295684814453125,-1.109263474239127,316.8867492675781,106.65792277567215,320.18243408203125,64,4.951355457305908,2025-10-10 13:46:52
TGT,192.72532653808594,150.17674255371094,89.0999984741211,-61.076744079589844,-40.66990869624546,192.72532653808594,128.33233912312184,253.80207061767578,71,2.714441218846281,2025-10-10 13:46:52
XOM,140.89805603027344,118.84296417236328,112.91000366210938,-5.932960510253906,-4.992269043078619,140.89805603027344,118.55818054649214,146.83101654052734,59,2.388102644580906,2025-10-10 13:46:52
