ticker,total_return_pct,avg_daily_return,daily_volatility,annualized_return,annualized_volatility,sharpe_ratio,risk_free_rate_annual,excess_return_annual,max_daily_gain,max_daily_loss,positive_days,negative_days,win_rate,analysis_date
AAPL,11.431318646198461,0.0006391720302754982,0.02038669126063583,16.107135162942555,32.362869078657766,0.35865593791241057,4.5,11.607135162942551,15.32884745965402,-9.245607048480542,133,115,53.2,2025-10-10 13:46:51
MSFT,26.568372007116754,0.0010661499663985813,0.015564430379112369,26.86697915324425,24.707767248906055,0.9052610431334928,4.5,22.366979153244245,10.133677966961017,-6.180903860268358,140,109,56.00000000000001,2025-10-10 13:46:51
GOOGL,49.6761788661783,0.0018252243566059235,0.020299220745270546,45.99565378646927,32.224013940233455,1.2877245480166468,4.5,41.49565378646925,9.68210409051805,-7.2923682522426505,133,116,53.2,2025-10-10 13:46:51
AMZN,22.0144725102258,0.0010208837842432456,0.02112710477559948,25.726271362929793,33.538239095424785,0.6328976098755714,4.5,21.22627136292979,11.977031526306256,-8.979129298487255,132,117,52.800000000000004,2025-10-10 13:46:51
TSLA,82.40985079848066,0.003401480486954557,0.044913783580980915,85.71730827125485,71.29842107655092,1.1391179081519114,4.5,81.21730827125484,22.68998983962453,-15.426206822195121,125,124,50.0,2025-10-10 13:46:51
NVDA,42.88644414594668,0.0019189968962676704,0.031122526637507326,48.35872178594529,49.405479392896595,0.8877299102222899,4.5,43.858721785945285,18.722734161151497,-16.968159946784855,135,114,54.0,2025-10-10 13:46:51
META,26.032660943274315,0.0011898900248303393,0.02305288407987521,29.985228625724545,36.59531896688992,0.6964067904089762,4.5,25.485228625724538,14.755608705942352,-8.958261041597645,127,122,50.8,2025-10-10 13:46:51
NFLX,68.57275648426993,0.0023136051180060496,0.020836875582516765,58.302848973752454,33.077514534560095,1.626568674545909,4.5,53.80284897375244,11.087033742104218,-8.533483935832642,137,112,54.800000000000004,2025-10-10 13:46:51
JPM,46.58792307931645,0.0016785563061830911,0.016919076649926274,42.299618915813895,26.858201537126845,1.4073771418969518,4.5,37.799618915813895,11.544540041375596,-7.483831932353868,142,106,56.8,2025-10-10 13:46:51
BAC,27.499930155223424,0.0011309171997459656,0.017532981944727258,28.499113433598332,27.832745980280365,0.8622617923004013,4.5,23.99911343359834,8.428843513466925,-11.063314219288989,132,113,52.800000000000004,2025-10-10 13:46:51
GS,57.999447941945505,0.0020543601892739306,0.02093592374298057,51.769876769703046,33.234748614803486,1.422302822794574,4.5,47.26987676970305,13.09776887477667,-9.211503734835905,139,110,55.60000000000001,2025-10-10 13:46:51
MS,48.9046044235436,0.0018149612242163164,0.020830125268648404,45.73702285025117,33.0667987434997,1.2470824034140167,4.5,41.23702285025119,11.611921679856469,-9.507832439687945,138,111,55.2,2025-10-10 13:46:51
C,55.743326797381165,0.0019921406917178374,0.020511726511711122,50.20194543128951,32.561356386334815,1.4035639329346081,4.5,45.7019454312895,9.154340192253487,-12.137678149913993,136,111,54.400000000000006,2025-10-10 13:46:51
V,25.951318524018657,0.001025162630073479,0.01401705449330437,25.834098277851673,22.25138418175431,0.9587762317880971,4.5,21.334098277851666,7.8372858296705985,-7.737410642837428,139,110,55.60000000000001,2025-10-10 13:46:51
MA,14.010212812953519,0.0006239409765807627,0.01393846708794799,15.723312609835219,22.126630543301427,0.5072309852090394,4.5,11.223312609835205,7.569492898308,-7.686360905082264,138,111,55.2,2025-10-10 13:46:51
PYPL,-4.089647024116053,0.00010575841220669044,0.02326111099732407,2.665111987608599,36.92586895079347,-0.04969112615431023,4.5,-1.8348880123914058,11.391745223671428,-13.166130466819892,130,119,52.0,2025-10-10 13:46:51
JNJ,22.893788782693264,0.0009033400921678708,0.012249733204408007,22.764170322630342,19.44584861145236,0.9392323620103633,4.5,18.264170322630342,6.193208957752071,-7.591655950075469,139,110,55.60000000000001,2025-10-10 13:46:51
PFE,-7.937831422732717,-0.00019418677270446508,0.016665686426437714,-4.89350667215252,26.455957027523365,-0.35506206267193513,4.5,-9.39350667215252,6.834377923251651,-5.434339936487873,123,123,49.2,2025-10-10 13:46:52
MRK,-17.056057023960797,-0.0005841857817341713,0.018244198156118448,-14.721481699701117,28.96176671452354,-0.6636847085044043,4.5,-19.221481699701112,7.387104641604353,-9.069044021824968,121,127,48.4,2025-10-10 13:46:52
UNH,-37.14837209729357,-0.0013602641226076807,0.030909104902021894,-34.278655889713555,49.06668289101444,-0.7903256059890507,4.5,-38.77865588971356,11.978345803153271,-22.37966348278611,128,121,51.2,2025-10-10 13:46:52
ABBV,22.943290928056157,0.000999201794847051,0.018264828205813027,25.179885230145683,28.9945159031396,0.7132343681553385,4.5,20.679885230145683,6.360519541054082,-12.56640513557674,130,118,52.0,2025-10-10 13:46:52
WMT,29.0821493800684,0.001137375336815881,0.014999464209540993,28.661858487760206,23.81091125859569,1.0147389247455965,4.5,24.161858487760206,9.548837904169247,-6.528848092591093,137,112,54.800000000000004,2025-10-10 13:46:52
COST,6.053823157425599,0.00032734345249381413,0.013518554294790718,8.249055002844116,21.460039649484237,0.17469935116984808,4.5,3.74905500284411,6.210728873984495,-6.069431234487719,124,124,49.6,2025-10-10 13:46:52
PG,-8.61944435750422,-0.0002938849366064854,0.011656758234874937,-7.405900402483432,18.50453002961,-0.6434046356990546,4.5,-11.905900402483436,3.375592566162824,-5.0118979466805555,133,116,53.2,2025-10-10 13:46:52
